name_ru,name_en
Диск тормозной задний,Rear brake disc
Диск тормозной передний,Front brake disc
Диск штампованный,Disk Stamped
Дисплей,Display
Дисплей компьютера,Computer Display
Дистроник,Distronic
Дифференциал,Differential
Диффузор вентилятора,Fan diffuser
Диффузор заднего бампера,Rear bumper diffuser
Дневные ходовые огни (комплект),Daytime running lights (set)
Дневные ходовые огни левые,Daytime running lights left
Дневные ходовые огни правые,Daytime running lights right
Доводчик двери,Door closer
Дождевик,Raincoat
Дозатор-распределитель топлива,Fuel dispenser-distributor
Домкрат,Jack
Дуги на крышу (рейлинги),Roof arches (rails)
Жалюзи,Blinds
Заглушка,Plug
Заглушка (решетка) в бампер,Plug (grille) in the bumper
Заглушка (решетка) в бампер задний,Plug (grille) in the rear bumper
Заглушка (решетка) в бампер передний,Plug (grille) in the front bumper
Заглушка для глушителя (сайленсер),Silencer plug (silencer)
Заглушка зеркала левого,Left mirror plug
Заглушка зеркала правого,Right mirror plug
Заглушка порога,Threshold plug
Задняя накладка центрального тоннеля,Rear lining of the central tunnel
Задняя панель кузова,Rear body panel
Задняя часть кузова (тазик),Rear part of the body (basin)
Замок багажника,Trunk lock
Замок бардачка,Glove compartment lock
Замок двери,Door lock
Замок двери задней левой,Rear left door lock
Замок двери задней правой,Rear right door lock
Замок двери передней левой,Front left door lock
Замок двери передней правой,Front right door lock
Замок двери сдвижной,Sliding door lock
Замок зажигания,Ignition lock
Замок кабины,Cab lock
Замок капота,Hood lock
Замок крыши,Roof lock
Замок лючка топливного бака,Fuel tank hatch lock
Замок ремня безопасности,Seat belt lock
Замок рулевой колонки,Steering column lock
Замок спинки сиденья,Seat back lock
Замок стекла двери багажника,Trunk door glass lock
Зарядное устройство (кабель зарядный),Charger (charging cable)
Заслонка горного тормоза,Mountain brake flap
Заслонка дроссельная,Throttle valve
Заслонка печки/климат-контроля,Oven flap/climate control
"Защита (кожух, крышка) ремня генератора","Protection (casing, cover) of the generator belt"
Защита (кожух) ремня ГРМ,Timing belt protection (casing)
Защита (экран) выпускного коллектора,Exhaust manifold protection (screen)
Защита арок (подкрылок),Protection of arches (underwing)
Защита арок задняя левая (подкрылок),Protection of arches rear left (underwing)
Защита арок задняя правая (подкрылок),Protection of arches rear right (underwing)
Защита арок передняя левая (подкрылок),Protection of arches front left (underwing)
Защита арок передняя правая (подкрылок),Protection of arches front right (underwing)
Защита бампера заднего,Rear bumper protection
Защита бампера переднего,Front bumper protection
Защита бамперов (комплект),Bumper protection (kit)
Защита двигателя,Engine protection
Защита днища,Bottom protection
Защита КПП,Checkpoint protection
Защита при переворачивании,Overturning protection
Защита радиатора,Radiator protection
Защита раздаточной коробки,Transfer case protection
Защита рулевой рейки,Steering rack protection
Защита топливного бака,Fuel tank protection
Защита топливного насоса,Fuel pump protection
Защитная дуга,Protective arc
Звезда ведомая (задняя),Star driven (rear)
Звезда ведущая (передняя),Star driving (front)
Звездочка балансирного вала,Sprocket of the balancing shaft
Звездочка вакуумного насоса,Vacuum pump sprocket
Звездочка коленвала,Crankshaft sprocket
Звездочка распредвала,Camshaft sprocket
Звездочка ТНВД,Fuel pump asterisk
Зеркало бордюрное,Curb mirror
Зеркало наружное левое,External left mirror
Зеркало наружное правое,Outer right mirror
Зеркало салона,Interior mirror
Знак аварийной остановки,Emergency stop sign
Изолятор моторного отсека левый,Engine compartment insulator left
Изолятор моторного отсека правый,Engine compartment insulator right
Иммобилайзер,Immobilizer
Инвертор,Inverter
Индикатор АКПП,Automatic transmission indicator
Интардер,Intarder
Интеркулер,Intercooler
Ионизатор воздуха,Air Ionizer
Испаритель кондиционера,Air conditioner evaporator
Исполнительный узел DISA,DISA Executive Node
Кабина,Cabin
Камера BLIS,BLIS Camera
Камера KAFAS,KAFAS Camera
Камера бокового вида,Side view camera
Камера заднего вида,Rear view camera
Камера ночного видения,Night Vision Camera
Камера переднего вида,Front view camera
Камера тормозная,Brake chamber
Камеры кругового обзора (комплект),All-round view cameras (set)
Капот,Bonnet
Карбюратор,Carburetor
Карданный вал,Driveshaft
Карданный вал передний,Front driveshaft
Каретка двери сдвижной,Sliding door carriage
Каркас сиденья,Seat frame
Картер,Carter
Картер маховика,Flywheel crankcase
Картридж турбины,Turbine Cartridge
Кассета радиаторов,Radiator cassette
Катализатор,The catalyst
Катафот,Catafot
Катушка зажигания,Ignition coil
Кенгурятник,Kangaroo House
Клапан EGR,EGR Valve
Клапан вентиляции картерных газов,Crankcase gas ventilation valve
Клапан вентиляции топливного бака,Fuel tank ventilation valve
Клапан воздушный,Air valve
Клапан впускного коллектора,Intake Manifold valve
Клапан впускной,Intake valve
Клапан выпускной,Exhaust valve
Клапан горного тормоза,Mountain brake valve
Клапан запорный,Shut-off valve
Клапан защитный 4-х контурный,Protective valve 4-contour
Клапан ограничения давления,Pressure limiting valve
Клапан остаточного давления пневмоподвески,Air suspension residual pressure valve
Клапан отсечки топлива,Fuel cut-off valve
Клапан охлаждения поршней,Piston cooling valve
Клапан перепускной,Bypass valve
Клапан продувки катализатора,Catalyst Purge valve
Клапан редукционный,Pressure reducing valve
Клапан ТНВД,Injection pump valve
Клапан ТРВ (расширительный) кондиционера,Valve TRV (expansion) of the air conditioner
Клапан управления турбиной (актуатор),Turbine control valve (actuator)
Клапан ускорительный,Accelerator valve
Клапан холостого хода,Idling valve
Клапан электромагнитный,Electromagnetic valve
Клапанная крышка,Valve cover
Клемма аккумулятора минус,Battery terminal minus
Клемма аккумулятора плюс,Battery terminal plus
Клеммник,Terminal block
Клипса,Clip
Клык бампера задний левый,Rear left bumper fang
Клык бампера задний правый,Rear right bumper fang
Клык бампера передний левый,Front left bumper fang
Клык бампера передний правый,Front right bumper fang
Ключ,Key
Ключ колесный (балонный),Wheel key (balloon)
Ключ-карта,Key Card
Кнопка (выключатель),Button (switch)
Кнопка аварийной сигнализации,Alarm button
Кнопка антипробуксовочной системы,Anti-slip system button
Кнопка запуска двигателя,Engine start button
Кнопка кондиционера,Air conditioner button
Кнопка корректора фар,Headlight corrector button
Кнопка обогрева заднего стекла,Rear window heating button
Кнопка обогрева зеркал,Mirror heating button
Кнопка обогрева лобового стекла,Windshield heating button
Кнопка обогрева руля,Steering wheel heating button
Кнопка обогрева сидений,Seat heating button
Кнопка омывателя фар,Headlight washer button
Кнопка освещения панели приборов,Instrument panel lighting button
Кнопка открывания крюка фаркопа,Towbar hook opening button
Кнопка открывания люка,Hatch opening button
Кнопка открытия багажника,Trunk opening button
Кнопка открытия дверей (бесключевой доступ),Door opening button (keyless access)
Кнопка открытия капота,Hood opening button
Кнопка открытия лючка топливного бака,Fuel tank hatch opening button
Кнопка открытия стекла багажника,Trunk window opening button
Кнопка парктроника,Parking sensors button
Кнопка переключения режимов подвески,Suspension mode switch button
Кнопка поднятия крыши,Roof lift button
Кнопка противотуманных фар,Fog light button
Кнопка регулировки сидения,Seat adjustment button
Кнопка ручного тормоза (ручника),Handbrake button (handbrake)
Кнопка стеклоподъемника,Window lifter button
Кнопка стеклоподъемника заднего левого,Rear left window lifter button
Кнопка стеклоподъемника заднего правого,Rear right window lifter button
Кнопка стеклоподъемника переднего левого,Front left window lifter button
Кнопка стеклоподъемника переднего правого,Front right window lifter button
Кнопка управления бортовым компьютером,On-board computer control button
Кнопка центрального замка,Central locking button
Кнопки руля,Steering wheel buttons
Ковер багажника,Trunk Carpet
Ковер салонный,Salon carpet
Коврики в салон,Floor mats in the salon
Кожух (защита) рулевого механизма,Steering gear cover (protection)
Кожух аккумулятора,Battery cover
Кожух защитный проводки,Protective wiring cover
Кожух защитный тормозного диска,Protective cover of the brake disc
Кожух интеркулера,Intercooler casing
Кожух компрессора пневмоподвески,Air suspension compressor casing
Кожух панели приборов,Instrument panel cover
Кожух рулевой колонки,Steering column cover
Кожух турбины,Turbine casing
Козырек солнцезащитный,Sun visor
Колба в бак,Flask in the tank
Коленвал,Crankshaft
Колесо запасное (таблетка),Spare wheel (tablet)
Коллектор впускной,Intake manifold
Коллектор выпускной,Exhaust manifold
Колодки стояночного тормоза,Parking brake pads
Колпак колесный,Wheel hubcap
Колпачки маслосъемные,Oil-removing caps
Колпачок (заглушка) ручки двери,Door handle cap (plug)
Колпачок литого диска,Cast Disc Cap
Кольцо ABS,ABS Ring
Кольцо зажимное топливозаборника,Fuel intake clamping ring
Кольцо уплотнительное,Sealing ring
Кольцо уплотнительное датчика парктроника,Sealing ring of the parking sensor
Кольцо уплотнительное фары,Headlight sealing ring
Коммутатор зажигания,Ignition switch
Комплект KAFAS,KAFAS Kit
Комплект ГРМ,Timing kit
Комплект задних стекол,Set of rear windows
Комплект проекции на лобовое стекло,Windshield projection Kit
Комплект системы Комфортный доступ,Comfort Access System Kit
Комплект сцепления,Clutch Kit
Комплект тормозов (диски и суппорта),Set of brakes (discs and calipers)
Компрессор для шин штатный,The compressor for tires is standard
Компрессор кондиционера,Air conditioner compressor
Компрессор пневмоподвески,Air suspension compressor
Компрессор подкачки сидений,Seat booster compressor
Компрессор центрального замка,Central locking compressor
Компьютер бортовой,On-board computer
Конденсатор,Capacitor
Консоль салона (кулисная часть),Interior console (backstage part)
Контактная группа,Contact Group
Контактор высоковольтной батареи,High voltage battery contactor
Корзина сцепления,Clutch Basket
Короб предохранителей,Fuse box
Коробка отбора мощности,Power take-off box
Коромысло клапана (рокер),Valve rocker arm (rocker)
Корпус блока управления двигателем,Engine control unit housing
Корпус воздушного фильтра,Air filter housing
Корпус высоковольтной батареи,High-voltage battery housing
Корпус зеркала наружного левого,Exterior left mirror housing
Корпус зеркала наружного правого,Exterior right mirror housing
Корпус КПП (колокол),The body of the checkpoint (bell)
Корпус масляного фильтра,Oil filter housing
Корпус отопителя (печки),Heater housing (stoves)
Корпус помпы,Pump housing
Корпус салонного фильтра,Cabin filter housing
Корпус сальника,Oil seal housing
Корпус сцепления,Clutch housing
Корпус сцепления АКПП,Automatic transmission clutch housing
Корпус термостата,Thermostat housing
Корпус ТНВД,Fuel pump housing
Корпус топливного фильтра,Fuel filter housing
Корпус турбины,Turbine housing
Корпус фильтра охлаждающей жидкости,Coolant filter housing
Корректор гидравлической подвески,Hydraulic suspension corrector
Корректор фар,Headlight Corrector
Корыто пластиковое,Plastic trough
КПП автоматическая (АКПП),Automatic transmission (automatic transmission)
КПП механическая (МКПП),Manual transmission (manual transmission)
КПП механическая (МКПП) 4-ступенчатая,Manual transmission (manual transmission) 4-speed
КПП механическая (МКПП) 5-ступенчатая,Manual transmission (manual transmission) 5-speed
КПП механическая (МКПП) 6-ступенчатая,Manual transmission (manual transmission) 6-speed
КПП роботизированная,Robotic checkpoint
Кран ABS,ABS Faucet
Кран главный тормозной,Main brake crane
Кран масловлагоотделителя (разгрузка),Oil separator crane (unloading)
Кран модулятор EBS,Crane modulator EBS
Кран отопителя (печки),Heater tap (stove)
Кран пневматический,Pneumatic crane
Кран понижения давления,Pressure reducing valve
Кран распределительный,Distribution crane
Кран ручного тормоза,Hand brake tap
Кран тормозной прицепа,Trailer brake crane
Кран уровня подвески,Suspension Level Crane
Кран уровня подвески кабины,Cab Suspension level crane
Кренометр,Krenometer
Крепление (крючок) солнцезащитного козырька,Fastening (hook) of the sun visor
Крепление автономного отопителя,Mounting of the autonomous heater
Крепление блока ABS,Mounting of the ABS unit
Крепление блока предохранителей,Mounting the fuse box
Крепление втулки стабилизатора,Stabilizer bushing mounting
Крепление запаски,Fixing the spare wheel
Крепление зеркала наружного левого,Mounting of the external left mirror
Крепление зеркала наружного правого,Mounting of the outer right mirror
Крепление интеркулера,Intercooler mounting
Крепление кассеты радиаторов,Mounting of the radiator cassette
Крепление ковриков салона,Fastening of interior mats
Крепление лючка топливного бака,Mounting of the fuel tank hatch
Крепление сиденья,Seat mounting
Крепление ТНВД,Fuel pump mounting
Крепление топливного бака,Fuel tank mounting
Крепление фары левой,Mounting the left headlight
